Title,Price,Location,Link
House For Sale,PKR1.05 Crore,No Location,https://www.realproperty.pk/property/3-marlas-272-square-feet-double-storey-house-for-sale-70850.html
House For Sale,PKR1.50 Crore,No Location,https://www.realproperty.pk/property/9-marla-corner-house-for-urgent-sale-70768.html
House For Sale,PKR7.00 Crore,No Location,https://www.realproperty.pk/property/structure-for-sale-dha-70759.html
House For Sale,PKR11.00 Crore,"Gulberg Green, Islamabad",https://www.realproperty.pk/property/1-kanal-house-for-sale-in-gulberg-residencia-block-e-islamabad-71681.html
House For Sale,PKR24.00 Crore,"F-8, Islamabad",https://www.realproperty.pk/property/40x120-house-for-sale-in-f-8-1-71670.html
House For Sale,PKR8.00 Crore,"B-17 - ock B, B-17 -  MPCHS - Multi Gardens",https://www.realproperty.pk/property/kanal-house-for-sale-71645.html
House For Sale,PKR3.60 Crore,"E-11, Islamabad",https://www.realproperty.pk/property/house-for-sale-e-11-4-islamabad-3-crore-70-lac-71570.html
House For Sale,Call For Price,Islamabad,https://www.realproperty.pk/property/house-for-sale-in-islamabad-g-8-2-71296.html
House For Sale,PKR4.80 Crore,"G-8, Islamabad",https://www.realproperty.pk/property/house-for-sale-in-islamabad-g-8-2-71295.html
House For Sale,PKR1.18 Crore,Ghauri Town -   Phase 2,https://www.realproperty.pk/property/grey-structure-house-for-sale-71151.html
House For Sale,PKR6.50 Crore,"Bahria Enclave, Islamabad",https://www.realproperty.pk/property/bahria-enclave-sector-c-golden-1-kanal-gray-structher-for-sell-71037.html
House For Sale,PKR16.00 Crore,"Ali Pur, Islamabad",https://www.realproperty.pk/property/double-story-5-marla-house-for-sale-71030.html
House For Sale,PKR16.00 Crore,"Ali Pur, Islamabad",https://www.realproperty.pk/property/5-marla-house-for-sale-71029.html
House For Sale,PKR1.25 Crore,Islamabad,https://www.realproperty.pk/property/5-5-marla-house-for-sale-in-bhara-kahu-islamabad-70995.html
House For Sale,PKR1.25 Crore,Islamabad,https://www.realproperty.pk/property/5-5-marla-house-for-sale-in-bhara-kahu-islamabad-70994.html
House For Sale,PKR70.00 Lac,"Bhara kahu, Islamabad",https://www.realproperty.pk/property/3-marla-full-furnished-house-for-sale-in-islamabad-bhara-kahu-70992.html
House For Sale,PKR90.00 Lac,"Alipur Farash, Islamabad",https://www.realproperty.pk/property/5-marla-house-for-sale-in-islamabad-70965.html
House For Sale,PKR5.10 Crore,Islamabad,https://www.realproperty.pk/property/single-story-house-for-sale-70931.html
House For Sale,PKR5.20 Crore,B-17 -  MPCHS  Multi Gardens,https://www.realproperty.pk/property/1-kanal-house-for-urgent-sale-70930.html
House For Sale,PKR26.00 Lac,B-17 -  MPCHS  Multi Gardens,https://www.realproperty.pk/property/house-and-plots-70864.html
House For Sale,PKR1.05 Crore,"Garden Town, Islamabad",https://www.realproperty.pk/property/3-marlas-272-square-feet-double-storey-house-for-sale-70850.html
House For Sale,PKR1.50 Crore,Islamabad,https://www.realproperty.pk/property/9-marla-corner-house-for-urgent-sale-70768.html
House For Sale,PKR7.00 Crore,"DHA Phase 1 - Sector A, DHA Phase 1",https://www.realproperty.pk/property/structure-for-sale-dha-70759.html
House For Sale,PKR7.00 Crore,No Location,https://www.realproperty.pk/property/structure-for-sale-dha-70751.html
House For Sale,PKR4.25 Crore,No Location,https://www.realproperty.pk/property/brand-new-designer-house-for-sale-70625.html
House For Sale,PKR4.00 Crore,No Location,https://www.realproperty.pk/property/brand-new-designer-house-for-sale-70624.html
House For Sale,PKR3.50 Crore,No Location,https://www.realproperty.pk/property/corner-house-for-sale-in-i14-islamabad-70604.html
House For Sale,PKR3.60 Crore,No Location,https://www.realproperty.pk/property/8-marla-brand-new-house-for-sale-in-i14-islamabad-70603.html
House For Sale,PKR1.80 Crore,No Location,https://www.realproperty.pk/property/7-marla-double-storey-luxury-house-5-min-walking-distance-to-main-gt-road-separate-meters-70566.html
House For Sale,PKR95.00 Lac,No Location,https://www.realproperty.pk/property/double-story-house-25x50-for-sale-at-prince-road-street-7-islamabad-70411.html
House For Sale,PKR45.00 Lac,No Location,https://www.realproperty.pk/property/3-marla-beautiful-house-for-sale-70341.html
House For Sale,PKR2.55 Crore,No Location,https://www.realproperty.pk/property/7-marla-double-story-house-for-sale-in-mpchs-f-17-2-70259.html
House For Sale,Call For Price,No Location,https://www.realproperty.pk/property/cda-park-enclave-2-1-kanal-70245.html
House For Sale,PKR1.90 Crore,No Location,https://www.realproperty.pk/property/brand-new-double-story-house-5-marla-for-sale-banigala-70240.html
House For Sale,Call For Price,No Location,https://www.realproperty.pk/property/1-kanal-plot-ideal-location-investor-rate-70223.html
House For Sale,PKR80.00 Crore,No Location,https://www.realproperty.pk/property/g13-full-house-double-story-house-available-for-sale-with-6-mater-bed-room-70043.html
House For Sale,PKR70.00 Lac,No Location,https://www.realproperty.pk/property/5-marla-single-storey-house-for-sale-abbasi-abad-green-valley-seri-chowk-03009750651-69993.html
House For Sale,PKR3.50 Crore,No Location,https://www.realproperty.pk/property/07-marla-brand-new-house-for-sale-in-islamabad-69904.html
House For Sale,PKR3.50 Crore,No Location,https://www.realproperty.pk/property/07-marla-brand-new-house-for-sale-in-islamabad-69903.html
House For Sale,PKR10.50 Crore,No Location,https://www.realproperty.pk/property/house-for-sale-69859.html
House For Sale,PKR1.80 Crore,No Location,https://www.realproperty.pk/property/5-marl-new-house-for-sale-in-shaheen-town-phase-1-69852.html
House For Sale,PKR1.30 Lac,No Location,https://www.realproperty.pk/property/1-kanal-5-bed-house-available-for-rent-69830.html
House For Sale,PKR90.00 Lac,No Location,https://www.realproperty.pk/property/5-marla-house-ideal-location-near-main-road-69819.html
House For Sale,PKR7.00 Crore,"DHA Phase 1 - Sector A, DHA Phase 1",https://www.realproperty.pk/property/structure-for-sale-dha-70751.html
House For Sale,PKR4.25 Crore,"I-11, Islamabad",https://www.realproperty.pk/property/brand-new-designer-house-for-sale-70625.html
House For Sale,PKR4.00 Crore,"I-11, Islamabad",https://www.realproperty.pk/property/brand-new-designer-house-for-sale-70624.html
House For Sale,PKR3.50 Crore,"I-14, Islamabad",https://www.realproperty.pk/property/corner-house-for-sale-in-i14-islamabad-70604.html
House For Sale,PKR3.60 Crore,"I-14, Islamabad",https://www.realproperty.pk/property/8-marla-brand-new-house-for-sale-in-i14-islamabad-70603.html
House For Sale,PKR1.80 Crore,Islamabad,https://www.realproperty.pk/property/7-marla-double-storey-luxury-house-5-min-walking-distance-to-main-gt-road-separate-meters-70566.html
House For Sale,PKR95.00 Lac,"Bhara kahu, Islamabad",https://www.realproperty.pk/property/double-story-house-25x50-for-sale-at-prince-road-street-7-islamabad-70411.html
House For Sale,PKR45.00 Lac,"Taramrri, Islamabad",https://www.realproperty.pk/property/3-marla-beautiful-house-for-sale-70341.html
House For Sale,PKR2.55 Crore,"F-17, Islamabad",https://www.realproperty.pk/property/7-marla-double-story-house-for-sale-in-mpchs-f-17-2-70259.html
House For Sale,Call For Price,Islamabad,https://www.realproperty.pk/property/cda-park-enclave-2-1-kanal-70245.html
House For Sale,PKR1.90 Crore,"Bani Gala, Islamabad",https://www.realproperty.pk/property/brand-new-double-story-house-5-marla-for-sale-banigala-70240.html
House For Sale,Call For Price,Islamabad,https://www.realproperty.pk/property/1-kanal-plot-ideal-location-investor-rate-70223.html
House For Sale,PKR80.00 Crore,Islamabad,https://www.realproperty.pk/property/g13-full-house-double-story-house-available-for-sale-with-6-mater-bed-room-70043.html
House For Sale,PKR70.00 Lac,"Bhara kahu, Islamabad",https://www.realproperty.pk/property/5-marla-single-storey-house-for-sale-abbasi-abad-green-valley-seri-chowk-03009750651-69993.html
House For Sale,PKR3.50 Crore,"G-15, Islamabad",https://www.realproperty.pk/property/07-marla-brand-new-house-for-sale-in-islamabad-69904.html
House For Sale,PKR3.50 Crore,"G-15, Islamabad",https://www.realproperty.pk/property/07-marla-brand-new-house-for-sale-in-islamabad-69903.html
House For Sale,PKR10.50 Crore,Islamabad,https://www.realproperty.pk/property/house-for-sale-69859.html
House For Sale,PKR1.80 Crore,"Shaheen Town, Islamabad",https://www.realproperty.pk/property/5-marl-new-house-for-sale-in-shaheen-town-phase-1-69852.html
House For Sale,PKR1.30 Lac,"Canyon Views, Islamabad",https://www.realproperty.pk/property/1-kanal-5-bed-house-available-for-rent-69830.html
House For Sale,PKR90.00 Lac,"Alipur Farash, Islamabad",https://www.realproperty.pk/property/5-marla-house-ideal-location-near-main-road-69819.html
House For Sale,Call For Price,No Location,https://www.realproperty.pk/property/5-marla-double-story-house-for-sale-69778.html
House For Sale,Call For Price,No Location,https://www.realproperty.pk/property/my-dream-home-69685.html
House For Sale,PKR90.00 Lac,No Location,https://www.realproperty.pk/property/4-marlah-house-for-sale-2-3-storey-69652.html
House For Sale,PKR1.35 Crore,No Location,https://www.realproperty.pk/property/4-marla-house-3-manzil-69571.html
House For Sale,PKR40.00 Lac,No Location,https://www.realproperty.pk/property/4-marla-house-in-neelum-colony-near-frash-town-69517.html
House For Sale,PKR1.60 Crore,No Location,https://www.realproperty.pk/property/5-marla-double-story-house-for-sale-69403.html
House For Sale,PKR1.48 Crore,No Location,https://www.realproperty.pk/property/5-marla-semi-double-brand-new-house-sale-69373.html
House For Sale,PKR7.50 Crore,No Location,https://www.realproperty.pk/property/exquisite-spanish-style-bungalow-69316.html
House For Sale,PKR3.80 Crore,No Location,https://www.realproperty.pk/property/8-5-marla-house-for-sale-69257.html
House For Sale,PKR1.10 Crore,No Location,https://www.realproperty.pk/property/10-marla-house-under-construction-69223.html
House For Sale,PKR3.60 Crore,No Location,https://www.realproperty.pk/property/7-marla-brand-new-house-for-sale-69195.html
House For Sale,PKR4.60 Crore,No Location,https://www.realproperty.pk/property/brand-new-house-69163.html
House For Sale,PKR3.50 Crore,No Location,https://www.realproperty.pk/property/7-marla-brand-new-house-for-sale-30-x60-in-f-block-gulberg-greens-69079.html
House For Sale,PKR11.00 Crore,No Location,https://www.realproperty.pk/property/brand-new-luxury-house-for-sale-69067.html
House For Sale,PKR1.60 Crore,No Location,https://www.realproperty.pk/property/10-marla-house-in-barakahu-69033.html
House For Sale,Call For Price,No Location,https://www.realproperty.pk/property/5-marla-brand-new-corner-home-with-extra-land-for-sale-68988.html
House For Sale,PKR2.90 Crore,No Location,https://www.realproperty.pk/property/11-marla-house-68965.html
House For Sale,PKR1.50 Crore,No Location,https://www.realproperty.pk/property/5-marla-double-story-house-for-sale-68952.html
House For Sale,PKR6.30 Crore,No Location,https://www.realproperty.pk/property/house-for-sale-68817.html
House For Sale,PKR7.50 Crore,No Location,https://www.realproperty.pk/property/house-for-sale-68782.html
House For Sale,Call For Price,Islamabad,https://www.realproperty.pk/property/5-marla-double-story-house-for-sale-69778.html
House For Sale,Call For Price,Islamabad,https://www.realproperty.pk/property/my-dream-home-69685.html
House For Sale,PKR90.00 Lac,Islamabad,https://www.realproperty.pk/property/4-marlah-house-for-sale-2-3-storey-69652.html
House For Sale,PKR1.35 Crore,"New Shakrial, Islamabad",https://www.realproperty.pk/property/4-marla-house-3-manzil-69571.html
House For Sale,PKR40.00 Lac,"Alipur Farash, Islamabad",https://www.realproperty.pk/property/4-marla-house-in-neelum-colony-near-frash-town-69517.html
House For Sale,PKR1.60 Crore,"Chatha Bakhtawar, Islamabad",https://www.realproperty.pk/property/5-marla-double-story-house-for-sale-69403.html
House For Sale,PKR1.48 Crore,"Ghauri Town, Islamabad",https://www.realproperty.pk/property/5-marla-semi-double-brand-new-house-sale-69373.html
House For Sale,PKR7.50 Crore,"DHA Phase 2 - Sector G, DHA Phase 2",https://www.realproperty.pk/property/exquisite-spanish-style-bungalow-69316.html
House For Sale,PKR3.80 Crore,"CBR Town, Islamabad",https://www.realproperty.pk/property/8-5-marla-house-for-sale-69257.html
House For Sale,PKR1.10 Crore,"Sangjani, Islamabad",https://www.realproperty.pk/property/10-marla-house-under-construction-69223.html
House For Sale,PKR3.60 Crore,"Gulberg, Islamabad",https://www.realproperty.pk/property/7-marla-brand-new-house-for-sale-69195.html
House For Sale,PKR4.60 Crore,Islamabad,https://www.realproperty.pk/property/brand-new-house-69163.html
House For Sale,PKR3.50 Crore,"Gulberg, Islamabad",https://www.realproperty.pk/property/7-marla-brand-new-house-for-sale-30-x60-in-f-block-gulberg-greens-69079.html
House For Sale,PKR11.00 Crore,"DHA Phase 5, DHA Defence",https://www.realproperty.pk/property/brand-new-luxury-house-for-sale-69067.html
House For Sale,PKR1.60 Crore,"Bhara kahu, Islamabad",https://www.realproperty.pk/property/10-marla-house-in-barakahu-69033.html
House For Sale,Call For Price,Islamabad,https://www.realproperty.pk/property/5-marla-brand-new-corner-home-with-extra-land-for-sale-68988.html
House For Sale,PKR2.90 Crore,"Bani Gala, Islamabad",https://www.realproperty.pk/property/11-marla-house-68965.html
House For Sale,PKR1.50 Crore,"Capital Enclave, Islamabad",https://www.realproperty.pk/property/5-marla-double-story-house-for-sale-68952.html
House For Sale,PKR6.30 Crore,"G-11, Islamabad",https://www.realproperty.pk/property/house-for-sale-68817.html
House For Sale,PKR7.50 Crore,Islamabad,https://www.realproperty.pk/property/house-for-sale-68782.html
House For Sale,PKR3.00 Crore,No Location,https://www.realproperty.pk/property/exquisite-designer-house-for-sale-68744.html
House For Sale,PKR8.50 Crore,No Location,https://www.realproperty.pk/property/10-marla-house-for-sale-in-d-12-68649.html
House For Sale,PKR3.70 Crore,No Location,https://www.realproperty.pk/property/10-marla-house-for-sale-68502.html
House For Sale,PKR22.00 Crore,No Location,https://www.realproperty.pk/property/house-for-sale-in-f-8-4-68384.html
House For Sale,PKR3.30 Crore,No Location,https://www.realproperty.pk/property/10-marla-house-for-sale-68311.html
House For Sale,PKR85.00 Lac,No Location,https://www.realproperty.pk/property/dera-68309.html
House For Sale,PKR3.75 Crore,No Location,https://www.realproperty.pk/property/beautiful-11-marla-villas-for-sale-68204.html
House For Sale,PKR52.00 Lac,No Location,https://www.realproperty.pk/property/3-5-marla-single-storey-68200.html
House For Sale,PKR60.00 Lac,No Location,https://www.realproperty.pk/property/5-marla-double-story-house-for-sale-near-taramrri-chowk-68169.html
House For Sale,PKR6.00 Crore,No Location,https://www.realproperty.pk/property/1-kanal-house-for-sale-in-dha-5-islamabad-68161.html
House For Sale,PKR8.00 Crore,No Location,https://www.realproperty.pk/property/1-kanal-house-for-sale-68158.html
House For Sale,PKR8.00 Crore,No Location,https://www.realproperty.pk/property/1-kanal-house-for-sale-68157.html
House For Sale,PKR8.00 Crore,No Location,https://www.realproperty.pk/property/1-kanal-house-for-sale-68156.html
House For Sale,PKR55.00 Lac,No Location,https://www.realproperty.pk/property/4-marla-single-story-house-for-sale-68133.html
House For Sale,PKR75.00 Lac,No Location,https://www.realproperty.pk/property/4-marla-single-story-house-for-sale-68122.html
House For Sale,PKR32.00 Lac,No Location,https://www.realproperty.pk/property/house-construction-and-building-at-best-and-cheap-rates-68118.html
House For Sale,PKR2.20 Crore,No Location,https://www.realproperty.pk/property/5-marla-houses-on-instalments-in-banigala-68079.html
House For Sale,PKR19.00 Crore,No Location,https://www.realproperty.pk/property/house-for-sale-investor-rate-68061.html
House For Sale,PKR16.00 Crore,No Location,https://www.realproperty.pk/property/corner-house-for-sale-68060.html
House For Sale,PKR97.00 Lac,No Location,https://www.realproperty.pk/property/5-marla-new-house-for-sale-in-islamabad-67987.html
House For Sale,PKR3.00 Crore,"Bani Gala, Islamabad",https://www.realproperty.pk/property/exquisite-designer-house-for-sale-68744.html
House For Sale,PKR8.50 Crore,Islamabad,https://www.realproperty.pk/property/10-marla-house-for-sale-in-d-12-68649.html
House For Sale,PKR3.70 Crore,"B-17, Islamabad",https://www.realproperty.pk/property/10-marla-house-for-sale-68502.html
House For Sale,PKR22.00 Crore,"F-8, Islamabad",https://www.realproperty.pk/property/house-for-sale-in-f-8-4-68384.html
House For Sale,PKR3.30 Crore,"F-17, Islamabad",https://www.realproperty.pk/property/10-marla-house-for-sale-68311.html
House For Sale,PKR85.00 Lac,"H-13, Islamabad",https://www.realproperty.pk/property/dera-68309.html
House For Sale,PKR3.75 Crore,"DHA Phase 1 - Sector F, DHA Phase 1",https://www.realproperty.pk/property/beautiful-11-marla-villas-for-sale-68204.html
House For Sale,PKR52.00 Lac,"Ghauri Town, Islamabad",https://www.realproperty.pk/property/3-5-marla-single-storey-68200.html
House For Sale,PKR60.00 Lac,"Taramrri, Islamabad",https://www.realproperty.pk/property/5-marla-double-story-house-for-sale-near-taramrri-chowk-68169.html
House For Sale,PKR6.00 Crore,"DHA Defence, Islamabad",https://www.realproperty.pk/property/1-kanal-house-for-sale-in-dha-5-islamabad-68161.html
House For Sale,PKR8.00 Crore,"DHA Defence, Islamabad",https://www.realproperty.pk/property/1-kanal-house-for-sale-68158.html
House For Sale,PKR8.00 Crore,"DHA Defence, Islamabad",https://www.realproperty.pk/property/1-kanal-house-for-sale-68157.html
House For Sale,PKR8.00 Crore,"DHA Defence, Islamabad",https://www.realproperty.pk/property/1-kanal-house-for-sale-68156.html
House For Sale,PKR55.00 Lac,"E-14, Islamabad",https://www.realproperty.pk/property/4-marla-single-story-house-for-sale-68133.html
House For Sale,PKR75.00 Lac,"H-13, Islamabad",https://www.realproperty.pk/property/4-marla-single-story-house-for-sale-68122.html
House For Sale,PKR32.00 Lac,"G-13, Islamabad",https://www.realproperty.pk/property/house-construction-and-building-at-best-and-cheap-rates-68118.html
House For Sale,PKR2.20 Crore,"Bani Gala, Islamabad",https://www.realproperty.pk/property/5-marla-houses-on-instalments-in-banigala-68079.html
House For Sale,PKR19.00 Crore,"F-8, Islamabad",https://www.realproperty.pk/property/house-for-sale-investor-rate-68061.html
House For Sale,PKR16.00 Crore,"F-11, Islamabad",https://www.realproperty.pk/property/corner-house-for-sale-68060.html
House For Sale,PKR97.00 Lac,"GT Road, Islamabad",https://www.realproperty.pk/property/5-marla-new-house-for-sale-in-islamabad-67987.html
House For Sale,PKR1.50 Crore,No Location,https://www.realproperty.pk/property/house-for-sell-in-banigala-67953.html
House For Sale,PKR4.50 Crore,No Location,https://www.realproperty.pk/property/house-for-sell-in-banigala-67952.html
House For Sale,PKR2.80 Crore,No Location,https://www.realproperty.pk/property/sector-c1-grey-structure-available-for-sale-parkfaced-67756.html
House For Sale,PKR1.90 Crore,No Location,https://www.realproperty.pk/property/model-town-humak-house-for-sale-plot-sized-1250-square-feet-67558.html
House For Sale,PKR85.00 Lac,No Location,https://www.realproperty.pk/property/house-for-sale-67478.html
House For Sale,PKR1.30 Crore,No Location,https://www.realproperty.pk/property/a-beautiful-house-for-sale-67476.html
House For Sale,PKR65.00 Lac,No Location,https://www.realproperty.pk/property/house-for-sale-67475.html
House For Sale,PKR1.45 Crore,No Location,https://www.realproperty.pk/property/house-for-sale-b17-f-block-67322.html
House For Sale,PKR80.00 Lac,No Location,https://www.realproperty.pk/property/double-story-house-for-sale-67319.html
House For Sale,PKR80.00 Lac,No Location,https://www.realproperty.pk/property/require-house-for-sale-67169.html
House For Sale,PKR1.70 Crore,No Location,https://www.realproperty.pk/property/double-story-house-for-sale-islamabad-i-10-1-67127.html
House For Sale,PKR2.55 Crore,No Location,https://www.realproperty.pk/property/35-65-elegant-new-double-storey-house-in-h-block-extension-soan-garden-66460.html
House For Sale,PKR1.50 Crore,No Location,https://www.realproperty.pk/property/looking-for-a-house-66277.html
House For Sale,PKR2.75 Crore,No Location,https://www.realproperty.pk/property/newly-constructed-house-available-for-sale-66140.html
House For Sale,PKR3.30 Crore,No Location,https://www.realproperty.pk/property/house-for-sale-size-284-square-yards-11-marla-corner-66110.html
House For Sale,PKR1.80 Crore,No Location,https://www.realproperty.pk/property/brand-new-7-marla-brand-double-story-house-for-sale-in-bahria-town-safari-valley-rawalpindi-66097.html
House For Sale,PKR2.50 Crore,No Location,https://www.realproperty.pk/property/2-kanal-house-66075.html
House For Sale,PKR5.50 Crore,No Location,https://www.realproperty.pk/property/dha-phase-2-islamabad-65931.html
House For Sale,PKR1.15 Crore,No Location,https://www.realproperty.pk/property/newly-built-5-marla-double-story-house-for-sale-65887.html
House For Sale,PKR3.20 Crore,No Location,https://www.realproperty.pk/property/brand-new-10-marla-house-for-sale-available-65841.html
House For Sale,PKR1.50 Crore,"Bani Gala, Islamabad",https://www.realproperty.pk/property/house-for-sell-in-banigala-67953.html
House For Sale,PKR4.50 Crore,"Bani Gala, Islamabad",https://www.realproperty.pk/property/house-for-sell-in-banigala-67952.html
House For Sale,PKR2.80 Crore,Bahria Enclave -  Sector C1,https://www.realproperty.pk/property/sector-c1-grey-structure-available-for-sale-parkfaced-67756.html
House For Sale,PKR1.90 Crore,"Humak, Islamabad",https://www.realproperty.pk/property/model-town-humak-house-for-sale-plot-sized-1250-square-feet-67558.html
House For Sale,PKR85.00 Lac,"Simly Dam Road, Islamabad",https://www.realproperty.pk/property/house-for-sale-67478.html
House For Sale,PKR1.30 Crore,"Simly Dam Road, Islamabad",https://www.realproperty.pk/property/a-beautiful-house-for-sale-67476.html
House For Sale,PKR65.00 Lac,"Simly Dam Road, Islamabad",https://www.realproperty.pk/property/house-for-sale-67475.html
House For Sale,PKR1.45 Crore,"B-17, Islamabad",https://www.realproperty.pk/property/house-for-sale-b17-f-block-67322.html
House For Sale,PKR80.00 Lac,"Ali Pur, Islamabad",https://www.realproperty.pk/property/double-story-house-for-sale-67319.html
House For Sale,PKR80.00 Lac,Islamabad,https://www.realproperty.pk/property/require-house-for-sale-67169.html
House For Sale,PKR1.70 Crore,"I-10, Islamabad",https://www.realproperty.pk/property/double-story-house-for-sale-islamabad-i-10-1-67127.html
House For Sale,PKR2.55 Crore,"Soan Garden, Islamabad",https://www.realproperty.pk/property/35-65-elegant-new-double-storey-house-in-h-block-extension-soan-garden-66460.html
House For Sale,PKR1.50 Crore,"Soan Garden, Islamabad",https://www.realproperty.pk/property/looking-for-a-house-66277.html
House For Sale,PKR2.75 Crore,B-17 -  Ideas Tower,https://www.realproperty.pk/property/newly-constructed-house-available-for-sale-66140.html
House For Sale,PKR3.30 Crore,"G-15, Islamabad",https://www.realproperty.pk/property/house-for-sale-size-284-square-yards-11-marla-corner-66110.html
House For Sale,PKR1.80 Crore,Bahria Town -  Others,https://www.realproperty.pk/property/brand-new-7-marla-brand-double-story-house-for-sale-in-bahria-town-safari-valley-rawalpindi-66097.html
House For Sale,PKR2.50 Crore,"Bhara kahu, Islamabad",https://www.realproperty.pk/property/2-kanal-house-66075.html
House For Sale,PKR5.50 Crore,"DHA Phase 2 - Sector D, DHA Phase 2",https://www.realproperty.pk/property/dha-phase-2-islamabad-65931.html
House For Sale,PKR1.15 Crore,"D-17, Islamabad",https://www.realproperty.pk/property/newly-built-5-marla-double-story-house-for-sale-65887.html
House For Sale,PKR3.20 Crore,"Bahria Enclave, Islamabad",https://www.realproperty.pk/property/brand-new-10-marla-house-for-sale-available-65841.html
